id;name;actions_combination;nb_actions;total_investment;total_profit
32;combinaison_32;[['Action-1', '20.0', '1.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14']];13;614.0;98.44000000000001
33;combinaison_33;[['Action-1', '20.0', '1.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14'], ['Action-15', '18.0', '0.54']];14;632.0;98.98000000000002
34;combinaison_34;[['Action-1', '20.0', '1.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14'], ['Action-15', '18.0', '0.54'], ['Action-16', '8.0', '0.64']];15;640.0;99.62000000000002
35;combinaison_35;[['Action-1', '20.0', '1.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14'], ['Action-15', '18.0', '0.54'], ['Action-16', '8.0', '0.64'], ['Action-17', '4.0', '0.48']];16;644.0;100.10000000000002
36;combinaison_36;[['Action-1', '20.0', '1.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14'], ['Action-15', '18.0', '0.54'], ['Action-16', '8.0', '0.64'], ['Action-17', '4.0', '0.48'], ['Action-18', '10.0', '1.4']];17;654.0;101.50000000000003
37;combinaison_37;[['Action-1', '20.0', '1.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14'], ['Action-15', '18.0', '0.54'], ['Action-16', '8.0', '0.64'], ['Action-17', '4.0', '0.48'], ['Action-18', '10.0', '1.4'], ['Action-19', '24.0', '5.04']];18;678.0;106.54000000000003
38;combinaison_38;[['Action-1', '20.0', '1.0'], ['Action-3', '50.0', '7.5'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14'], ['Action-15', '18.0', '0.54'], ['Action-16', '8.0', '0.64'], ['Action-17', '4.0', '0.48'], ['Action-18', '10.0', '1.4'], ['Action-19', '24.0', '5.04'], ['Action-20', '114.0', '20.52']];19;792.0;127.06000000000003
39;combinaison_39;[['Action-1', '20.0', '1.0'], ['Action-4', '70.0', '14.0']];2;90.0;15.0
40;combinaison_40;[['Action-1', '20.0', '1.0'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2']];3;150.0;25.2
41;combinaison_41;[['Action-1', '20.0', '1.0'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0']];4;230.0;45.2
42;combinaison_42;[['Action-1', '20.0', '1.0'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54']];5;252.0;46.74
43;combinaison_43;[['Action-1', '20.0', '1.0'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86']];6;278.0;49.6
44;combinaison_44;[['Action-1', '20.0', '1.0'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24']];7;326.0;55.84
45;combinaison_45;[['Action-1', '20.0', '1.0'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18']];8;360.0;65.02000000000001
46;combinaison_46;[['Action-1', '20.0', '1.0'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14']];9;402.0;72.16000000000001
47;combinaison_47;[['Action-1', '20.0', '1.0'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9']];10;512.0;82.06000000000002
48;combinaison_48;[['Action-1', '20.0', '1.0'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74']];11;550.0;90.80000000000001
49;combinaison_49;[['Action-1', '20.0', '1.0'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14']];12;564.0;90.94000000000001
50;combinaison_50;[['Action-1', '20.0', '1.0'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14'], ['Action-15', '18.0', '0.54']];13;582.0;91.48000000000002
51;combinaison_51;[['Action-1', '20.0', '1.0'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14'], ['Action-15', '18.0', '0.54'], ['Action-16', '8.0', '0.64']];14;590.0;92.12000000000002
52;combinaison_52;[['Action-1', '20.0', '1.0'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14'], ['Action-15', '18.0', '0.54'], ['Action-16', '8.0', '0.64'], ['Action-17', '4.0', '0.48']];15;594.0;92.60000000000002
53;combinaison_53;[['Action-1', '20.0', '1.0'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14'], ['Action-15', '18.0', '0.54'], ['Action-16', '8.0', '0.64'], ['Action-17', '4.0', '0.48'], ['Action-18', '10.0', '1.4']];16;604.0;94.00000000000003
54;combinaison_54;[['Action-1', '20.0', '1.0'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14'], ['Action-15', '18.0', '0.54'], ['Action-16', '8.0', '0.64'], ['Action-17', '4.0', '0.48'], ['Action-18', '10.0', '1.4'], ['Action-19', '24.0', '5.04']];17;628.0;99.04000000000003
55;combinaison_55;[['Action-1', '20.0', '1.0'], ['Action-4', '70.0', '14.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14'], ['Action-15', '18.0', '0.54'], ['Action-16', '8.0', '0.64'], ['Action-17', '4.0', '0.48'], ['Action-18', '10.0', '1.4'], ['Action-19', '24.0', '5.04'], ['Action-20', '114.0', '20.52']];18;742.0;119.56000000000003
56;combinaison_56;[['Action-1', '20.0', '1.0'], ['Action-5', '60.0', '10.2']];2;80.0;11.2
57;combinaison_57;[['Action-1', '20.0', '1.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0']];3;160.0;31.2
58;combinaison_58;[['Action-1', '20.0', '1.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54']];4;182.0;32.74
59;combinaison_59;[['Action-1', '20.0', '1.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86']];5;208.0;35.6
60;combinaison_60;[['Action-1', '20.0', '1.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24']];6;256.0;41.84
61;combinaison_61;[['Action-1', '20.0', '1.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18']];7;290.0;51.02
62;combinaison_62;[['Action-1', '20.0', '1.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14']];8;332.0;58.160000000000004
63;combinaison_63;[['Action-1', '20.0', '1.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9']];9;442.0;68.06
64;combinaison_64;[['Action-1', '20.0', '1.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74']];10;480.0;76.8
65;combinaison_65;[['Action-1', '20.0', '1.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14']];11;494.0;76.94
66;combinaison_66;[['Action-1', '20.0', '1.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14'], ['Action-15', '18.0', '0.54']];12;512.0;77.48
67;combinaison_67;[['Action-1', '20.0', '1.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14'], ['Action-15', '18.0', '0.54'], ['Action-16', '8.0', '0.64']];13;520.0;78.12
68;combinaison_68;[['Action-1', '20.0', '1.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14'], ['Action-15', '18.0', '0.54'], ['Action-16', '8.0', '0.64'], ['Action-17', '4.0', '0.48']];14;524.0;78.60000000000001
69;combinaison_69;[['Action-1', '20.0', '1.0'], ['Action-5', '60.0', '10.2'], ['Action-6', '80.0', '20.0'], ['Action-7', '22.0', '1.54'], ['Action-8', '26.0', '2.86'], ['Action-9', '48.0', '6.24'], ['Action-10', '34.0', '9.18'], ['Action-11', '42.0', '7.14'], ['Action-12', '110.0', '9.9'], ['Action-13', '38.0', '8.74'], ['Action-14', '14.0', '0.14'], ['Action-15', '18.0', '0.54'], ['Action-16', '8.0', '0.64'], ['Action-17', '4.0', '0.48'], ['Action-18', '10.0', '1.4']];15;534.0;80.00000000000001
